id;title;address;coordonnees
1;"Maison natale de Max Jacob";"8 Rue du Parc, 29000 Quimper, France";47.99487,-4.103383
2;"Maison Ernest Renan";"20 rue Ernest Renan, 22220 Tréguier, France";48.787931983523,-3.2290978732848
3;"Maison et jardin de Georges Clemenceau";"Maison de Georges Clemenceau 76 rue Georges Clemenceau, 85520 Saint-Vincent-sur-Jard, France";46.406892,-1.546952
4;"Château de Voltaire à Ferney";"Château de Voltaire Allée du Chateau, 01210 Ferney-Voltaire, France";46.258001,6.104293
5;"Musée Gay-Lussac";"Musée Gay Lussac 1 Rue Jean Giraudoux, 87400 Saint-Léonard-de-Noblat, France";45.836565179718,1.4894702380527
6;"Domaine de Nohant";"Maison et jardin de George Sand Domaine de George-Sand, 36400 Nohant-Vic, France";46.625012,1.974182
7;"Domaine du château de Bussy-Rabutin";"Château de Bussy-Rabutin Rue du Château, 21150 Bussy-le-Grand, France";47.561635943312,4.523418277459
8;"Villa Thuret et Jardin botanique";"Villa Thuret et Jardin botanique 90 chemin Raymond, 06160 Antibes, France";43.563112,7.12504
9;"Château de Bois-Guilbert et Jardin des sculptures";"Château de Bois-Guilbert 1108 Route d’Heronchelles, 76750 Bois-Guilbert, France";49.537705,1.404462
10;"Maison et jardins de Claude Monet - Giverny";"Maison et jardins de Claude Monet 84 rue Claude Monet, 27620 Giverny, France";49.075384,1.533702
11;"Villa Arnaga - Musée Edmond Rostand";"Villa Arnaga - Musée Edmond Rostand 9 Avenue du Docteur Alexandre Camino, 64250 Cambo-les-Bains, France";43.36587,-1.413601
12;"Maison natale du maréchal Foch, actuellement Musée Foch";"Maison natale du Maréchal Foch 2 Rue de la Victoire, 65000 Tarbes, France";43.234183,0.071204
13;"Musée-Maison natale de Pierre Corneille";"Musée-Maison natale de Pierre Corneille 4 Rue de la Pie, 76000 Rouen, France";49.443051,1.086748
14;"Maison des Champs – Musée départemental Pierre Corneille";"Musée Pierre Corneille 502 Rue Pierre Corneille, 76650 Petit-Couronne, France";49.389368,1.0216
15;"Musée Georges Clemenceau";"Musée Clemenceau 8 Rue Benjamin Franklin, 75016 Paris, France";48.859206,2.285095
16;"Ancien château d'Henri IV, actuellement musée";"Château-musée Henri IV 11 Rue Henri IV, 47600 Nérac, France";44.135201562173,0.34026040377896
